acc_x_1,acc_y_1,acc_z_1,acc_x_2,acc_y_2,acc_z_2,acc_x_3,acc_y_3,acc_z_3,acc_x_4,acc_y_4,acc_z_4,acc_x_5,acc_y_5,acc_z_5,acc_x_6,acc_y_6,acc_z_6
16014,49025,48775,16007,48923,48781,15780,49110,48906,16261,49011,48409,16144,49051,15530,48762,15900,16248
16267,48832,48897,16259,48940,48939,16089,48984,48961,16218,49028,16008,49052,48908,16163,48896,48266,16113
16216,48736,48844,16197,48886,48858,16060,48914,48957,16201,48919,48795,48806,48912,16158,48953,48286,16139
48907,48847,48957,49071,48989,48729,49196,48956,48939,48890,49053,16099,16260,48985,16130,49050,15882,16120
16246,15892,48918,16276,15723,48925,16148,48787,49026,48666,49003,48668,16123,48410,16184,49038,48483,15504
16179,16217,48859,16241,16129,48856,16202,15894,48948,16200,15855,48941,15709,48861,16218,48984,48196,48424
16244,16041,48718,16264,48412,48744,16226,48798,48952,16263,48360,48913,15973,48804,16245,49019,48196,48605
15562,16142,48908,16255,15764,48797,16338,16433,49123,15857,16089,49174,49323,15620,48911,49070,15638,48859
16140,16385,48978,15900,16344,48978,48640,16107,48455,15813,16119,48512,48517,48737,16352,48924,48827,48487
16230,16303,48787,16259,16293,48656,16276,16187,48659,16328,49058,16235,16209,15847,16272,48982,48798,48770
16299,16228,48673,16359,16152,48856,16347,48539,48989,16344,16118,49016,48668,16133,16158,48973,48751,48911
16208,16105,15766,16240,15721,15906,16218,48724,48799,16226,15926,48813,16008,15853,16236,49028,48720,48851
16149,16175,48579,16189,16120,48376,16256,15490,48668,16230,16139,48729,15956,15923,16233,49028,48744,48787
16378,16328,48606,16445,16301,48931,16511,16517,49155,16153,16281,49109,49129,16215,48941,48897,48901,48935
15783,16211,48603,16048,16241,15971,16152,15997,16029,16152,16070,16015,16243,16279,16187,49028,48794,48236
16247,16122,16187,16237,15891,16154,16215,16002,48711,16074,16179,48693,15592,16065,16254,49025,48594,48745
15776,16082,15745,16140,15994,16039,16408,16281,48965,16305,16328,49042,48934,16357,48949,49032,48763,48746
16216,16146,48596,16233,16011,48652,16192,48776,48773,16236,15836,48425,16031,16162,16183,49031,48796,48770
16250,16181,15928,16350,16131,15931,16396,16064,48878,16306,16255,48983,48434,15456,16133,49028,48748,48647
16217,16198,48532,16264,16047,0,16258,48703,48878,16261,16040,48822,16002,48567,16264,49014,48779,48650
16265,48777,48716,16252,48907,48788,16083,48991,48878,16208,48893,16052,15989,16086,16210,49063,48797,48821
16147,48793,48825,15927,48981,48773,48573,49126,48694,16191,49000,16107,48872,48923,16270,48920,48745,16104
16162,48861,48656,16098,48889,48762,48284,48922,48715,16069,48944,15955,49012,48904,15903,48650,48759,16245
16057,48970,15918,15420,49005,48378,48878,48982,48232,48549,48952,16140,49009,48765,48641,15621,48759,16241
16185,16005,16032,16288,16241,48914,16235,49244,48719,16300,49025,16369,49029,49078,16236,16207,48932,16260
15844,49025,16138,16279,48950,15677,48732,48927,48850,48550,48992,16016,49067,48617,48939,16012,48578,16159
48719,49007,15999,48909,49003,15610,49005,48908,15991,48917,48963,16188,49037,15914,48913,16057,48670,16252
49030,49036,16017,49211,49162,16085,49233,49030,16123,49103,48788,16043,16091,16003,49063,48464,48401,16259
15800,48950,16081,48798,48959,48140,49034,48989,15913,48772,49037,16211,15780,48705,48811,15920,48676,16217
48665,49032,16076,48899,49040,15598,49024,48959,15969,48904,49012,16166,49023,48682,48929,16107,48668,16239
16151,48943,16208,16098,49026,16085,48784,49038,15985,48688,48919,16167,48943,48942,15810,16141,47904,16215
48577,48845,15939,48731,48960,48579,49035,48906,48438,48569,49065,16203,48397,15981,48881,16071,48656,16251
48605,49057,15904,48915,49031,48848,49051,48933,15632,48890,49038,16186,49035,48803,48924,16064,48777,16250
48523,49020,16080,48870,49023,48446,48952,48950,15809,48759,48958,16129,48961,48696,48898,16046,48672,16249
15879,48791,16028,48727,48823,15612,48960,48008,15920,48955,48929,16134,48959,48616,48926,15912,48660,16218
16076,49010,16110,48567,49030,15432,49012,48945,48132,48684,49061,16193,48675,48821,48518,15785,48633,16206
48908,49004,15584,48982,48924,48784,49036,48627,15808,48991,48958,16000,48952,48874,48997,16134,15689,16269
16016,15725,15769,16135,16298,48812,16166,48961,48883,16273,49029,15560,48779,49032,48929,16226,48778,16236
48868,48957,15512,48960,48910,48719,49047,48625,15717,48924,48966,16060,48839,48933,48855,16010,15440,16207
48904,48992,48697,48967,48913,48880,49035,48639,48652,48961,48995,15883,48874,48925,48976,16154,15961,16226
48855,49042,48487,49025,49039,48748,49066,49014,48531,48955,48998,16072,48590,48932,48870,16094,15928,16228
48529,49010,15881,48807,48981,48632,48879,48598,48605,48827,48898,15891,48981,48942,48806,16085,15761,16216
48310,48941,48678,48870,48917,48902,49048,48817,48665,48961,49027,15997,48943,48930,48894,16071,15948,16232
48720,49004,48645,48905,48965,48869,49031,48852,48688,48918,49027,16004,48975,48925,48910,16117,15884,16240
16011,48945,15702,15312,48919,48780,48837,48935,48677,48688,48996,16092,48966,48923,48835,15943,48535,16177
15898,48962,48569,48640,48847,48861,48963,48721,48815,48882,49028,15816,48977,48933,48886,15965,15992,16230
15592,49057,48567,48833,49022,48884,48973,48849,48804,48913,49004,16020,48909,48931,48866,15786,15800,16263
