acc_x_1,acc_y_1,acc_z_1,acc_x_2,acc_y_2,acc_z_2,acc_x_3,acc_y_3,acc_z_3,acc_x_4,acc_y_4,acc_z_4,acc_x_5,acc_y_5,acc_z_5,acc_x_6,acc_y_6,acc_z_6
48882,15926,16217,49005,15943,16186,48995,16018,16173,49038,15866,16016,49041,48943,48702,16158,15927,16243
15556,15558,16187,48832,15953,16170,48858,16023,16162,48966,15962,16124,48996,48770,48672,15918,15877,16209
16203,15818,16050,15787,16039,15975,48493,16078,15947,48797,16115,15890,48996,48262,48669,48896,48272,16257
16273,48370,49010,16214,15973,48958,16131,16056,48924,15936,16165,48907,48987,48536,16064,48907,48474,16159
16263,49053,15913,16336,49045,16245,16293,48929,48748,16257,48713,16080,48927,16184,48525,48993,48887,48840
16416,48893,16201,16390,48771,15793,16398,48586,48983,16352,16138,49049,16279,16212,49089,49025,48785,48963
15998,48475,48921,15994,48544,49063,16052,16033,49093,16148,16120,49056,16222,16278,49005,48988,48840,48901
16205,48411,48946,16260,48883,48667,16224,48959,15604,16271,48903,15991,15973,15991,16139,48964,48908,48814
16279,16093,49102,16311,48860,49053,16273,49027,48963,16329,48938,49011,16092,48955,16299,48955,48573,15900
15745,16209,49105,16114,16161,49124,16174,16192,49125,16137,15802,49094,16217,49027,15977,49042,16079,15678
48947,16308,49159,48737,16369,49184,48954,16188,49178,48957,15917,49216,16019,49151,49049,48949,16126,15908
48918,16046,48790,48935,15488,48795,48970,15625,48908,49027,49017,48982,48894,48952,49027,16238,16100,16062
48951,48989,48336,48989,49078,48649,49086,48923,49098,48961,48882,49034,48719,49001,48654,16199,16055,16176
48362,49092,16326,49073,48945,16333,49087,15887,16128,49068,48651,48604,48679,49024,49008,16054,15865,16214
48789,16007,16273,48806,15942,16272,48056,16021,16133,48860,16033,15834,48997,48964,48905,15747,48766,16197
16315,16128,16141,16208,15901,16203,16210,48503,16183,16320,48458,48872,49021,15838,48859,48878,48842,16234
16294,16051,49108,16321,15512,48985,16292,48713,15508,16192,48902,16205,16243,16132,16137,49017,48924,15994
16286,49026,48813,16146,48979,16182,16311,49097,16252,15560,49125,16335,16178,16191,16078,49071,48824,48884
16129,16192,16100,16255,16136,16004,16265,16028,48704,16268,15827,48891,16095,15746,16257,48942,48773,48758
15989,48655,16069,16185,15920,48661,16248,48680,48477,16251,16007,48492,48502,16130,16160,49024,48872,48849
16129,48901,48940,15967,16004,48922,15851,16141,48965,16047,16161,48966,15966,16238,48611,49031,48901,48778
15883,16037,49063,16135,16118,49054,16170,16081,49032,16217,16149,49047,16296,16153,48989,48956,48906,48917
16106,16131,48944,16082,16099,48636,16002,16061,16102,48907,16118,16259,16282,16141,48962,48989,48940,48944
16185,16141,48741,16176,16083,15666,16101,16020,15938,15522,16136,15841,16276,16137,48810,49002,48950,48956
16145,16128,48731,16202,15974,15976,16259,15874,48651,16248,48834,15886,48585,16031,16194,48923,48926,15643
16184,16139,48838,16311,48978,16232,49140,49236,16374,16525,48812,48683,48837,15930,16260,48874,48897,16085
16266,48907,16285,16255,49027,16262,16176,49164,16208,16269,48795,48957,48945,48484,16270,48897,48845,16113
16135,16127,49042,16258,49015,16006,16189,49158,16190,16287,48943,16001,48888,48604,16256,48865,48812,16146
16337,48811,15997,16153,49083,16302,16274,49039,48935,16147,49051,16305,48945,15758,16259,48795,48850,16100
16316,48924,48557,16262,48781,15804,16166,15879,48893,16140,15821,48538,48712,15863,16182,48999,48852,16019
16331,48916,16265,16260,15750,48529,16249,15656,48744,16219,15873,16056,16000,16131,16127,48977,48927,48176
16179,15906,48695,16249,16092,48813,15987,16158,48835,16145,16261,48904,15709,16240,15929,48954,48940,48561
16262,48644,16020,15783,15909,48660,16152,16125,48933,16129,16160,48426,16157,16259,14912,49025,48947,48913
16192,16228,48869,16212,16081,49065,16181,16129,49010,16156,16153,48841,16120,16183,15967,48956,48919,48911
15744,15820,16256,16191,16245,48963,16107,16294,49152,16092,16271,49056,16183,16199,15713,48950,48899,48716
48280,16265,49045,15995,16222,16172,15932,16176,48820,15803,16195,48905,15873,16249,15136,48909,48913,48829
48691,16082,49083,16159,16276,48735,16046,16198,48914,15779,16163,48995,15882,16172,16122,48845,48911,48874
16052,16144,48793,16268,48630,16299,16152,48995,16314,15992,16142,16094,16046,16270,48630,48944,48886,49050
48889,16230,49054,16266,16055,16170,16243,48840,16185,16201,16258,48969,16202,16262,48809,48941,48972,48937
48664,16136,15929,16131,16305,49149,48783,16291,49058,16303,16300,49156,48782,16174,48460,48737,48931,48836
48296,16241,16061,15873,16231,48970,16138,16104,48896,16041,16198,48999,15966,16231,48877,48786,48988,48952
48762,16150,16100,48848,16217,49003,48727,16311,49135,48920,16257,49052,48665,16172,48887,48722,48988,48729
16207,49200,16332,16282,49028,16336,16199,48867,16156,15200,48942,16293,49043,16239,48846,48903,48994,48911
16257,49045,15792,16143,48828,15984,47488,49060,16175,16153,48992,16245,48730,16204,48524,48812,48974,15782
15807,16033,48936,16198,48830,48791,16137,48948,48774,16134,48984,48621,48816,48364,16135,48851,48906,16151
16271,48910,48771,16206,48963,48778,16105,49054,48786,16170,49136,15921,48796,48880,16133,48855,48804,16148
16245,49032,48950,16208,49091,48856,16229,49036,48891,15921,48771,16131,48975,49041,16175,48775,48800,16188
